2,"[ 0.          0.         -0.12152778 -0.11111111 -0.16666667 -0.29513889
 -0.05902778 -0.46527778  0.03819444 -0.58333333 -0.25       -0.5625
 -0.26388889 -0.75694444 -0.28125    -0.89236111 -0.28819444 -1.
 -0.10069444 -0.54166667 -0.06597222 -0.67013889 -0.07638889 -0.48263889
 -0.07986111 -0.41319444  0.03819444 -0.48611111  0.06597222 -0.57986111
  0.02777778 -0.40277778  0.00694444 -0.35416667  0.14583333 -0.39930556
  0.16319444 -0.47222222  0.11805556 -0.34375     0.09027778 -0.30555556]"
2,"[ 0.          0.         -0.11764706 -0.11418685 -0.16262976 -0.29065744
 -0.05882353 -0.44982699  0.04152249 -0.56747405 -0.24567474 -0.56055363
 -0.26297578 -0.75432526 -0.28027682 -0.88927336 -0.28373702 -1.
 -0.09342561 -0.53979239 -0.06920415 -0.66782007 -0.07958478 -0.49134948
 -0.08650519 -0.42214533  0.0449827  -0.48442907  0.06920415 -0.57093426
  0.03114187 -0.4083045   0.01038062 -0.35640138  0.15224913 -0.39100346
  0.16608997 -0.47058824  0.12110727 -0.34948097  0.09342561 -0.30795848]"
2,"[ 0.          0.         -0.12110727 -0.11764706 -0.16608997 -0.29757785
 -0.06228374 -0.46020761  0.02768166 -0.58131488 -0.25259516 -0.56747405
 -0.26297578 -0.75778547 -0.2733564  -0.88927336 -0.28027682 -1.
 -0.10034602 -0.5467128  -0.07266436 -0.66782007 -0.07958478 -0.48442907
 -0.08304498 -0.42560554  0.03806228 -0.49134948  0.06574394 -0.57439446
  0.03114187 -0.40484429  0.01038062 -0.36678201  0.14186851 -0.40138408
  0.16262976 -0.47750865  0.11764706 -0.35294118  0.0899654  -0.3183391 ]"
2,"[ 0.          0.         -0.12547529 -0.1026616  -0.19011407 -0.26996198
 -0.121673   -0.4486692  -0.04562738 -0.59315589 -0.36882129 -0.53612167
 -0.42965779 -0.73764259 -0.48288973 -0.878327   -0.51711027 -1.
 -0.19771863 -0.55513308 -0.17870722 -0.69581749 -0.14448669 -0.52851711
 -0.14448669 -0.43726236 -0.03802281 -0.52091255 -0.01520913 -0.60456274
 -0.01140684 -0.44106464 -0.03422053 -0.38403042  0.08745247 -0.44486692
  0.11406844 -0.52471483  0.09505703 -0.39923954  0.05703422 -0.34980989]"
2,"[ 0.          0.         -0.13618677 -0.08171206 -0.21011673 -0.26070039
 -0.12840467 -0.45136187 -0.05447471 -0.60700389 -0.39299611 -0.52918288
 -0.45914397 -0.73151751 -0.51750973 -0.87548638 -0.55642023 -1.
 -0.22568093 -0.54863813 -0.19066148 -0.69649805 -0.15564202 -0.53307393
 -0.15564202 -0.44747082 -0.06225681 -0.51750973 -0.02723735 -0.60700389
 -0.0233463  -0.43190661 -0.04669261 -0.37743191  0.07003891 -0.43579767
  0.10505837 -0.52529183  0.08949416 -0.38910506  0.04669261 -0.33463035]"
2,"[ 0.          0.         -0.14176245 -0.08429119 -0.22605364 -0.2605364
 -0.13409962 -0.44827586 -0.04980843 -0.59770115 -0.3908046  -0.53256705
 -0.4559387  -0.7394636  -0.50957854 -0.88122605 -0.55172414 -1.
 -0.22222222 -0.54789272 -0.18773946 -0.69348659 -0.1532567  -0.51724138
 -0.15708812 -0.42911877 -0.06130268 -0.51724138 -0.02681992 -0.59386973
 -0.02681992 -0.42145594 -0.05363985 -0.37547893  0.07279693 -0.44061303
  0.10344828 -0.5210728   0.08429119 -0.38314176  0.04214559 -0.33333333]"
2,"[ 0.          0.         -0.14035088 -0.05263158 -0.25438596 -0.22368421
 -0.20614035 -0.43421053 -0.14912281 -0.61403509 -0.50877193 -0.49122807
 -0.63157895 -0.71491228 -0.71491228 -0.86403509 -0.78070175 -1.
 -0.3377193  -0.53947368 -0.31140351 -0.69298246 -0.23684211 -0.53070175
 -0.23245614 -0.45175439 -0.15789474 -0.53508772 -0.11842105 -0.62719298
 -0.0745614  -0.43859649 -0.09210526 -0.38157895  0.00438596 -0.48245614
  0.03947368 -0.57017544  0.05263158 -0.42105263  0.01315789 -0.35964912]"
2,"[ 0.          0.         -0.12437811 -0.03482587 -0.24875622 -0.17412935
 -0.23880597 -0.41791045 -0.20895522 -0.62189055 -0.5920398  -0.43781095
 -0.75621891 -0.67164179 -0.87064677 -0.85074627 -0.960199   -1.
 -0.42288557 -0.52238806 -0.39303483 -0.69154229 -0.27363184 -0.51243781
 -0.25373134 -0.44278607 -0.2238806  -0.54726368 -0.17412935 -0.65174129
 -0.09950249 -0.46268657 -0.12437811 -0.4079602  -0.03482587 -0.50746269
  0.01492537 -0.61691542  0.04477612 -0.45273632  0.         -0.37810945]"
2,"[ 0.          0.         -0.12871287 -0.03465347 -0.25742574 -0.17326733
 -0.24752475 -0.4009901  -0.22277228 -0.5990099  -0.6039604  -0.41584158
 -0.78217822 -0.63366337 -0.90594059 -0.8019802  -1.         -0.95049505
 -0.43564356 -0.5049505  -0.41584158 -0.67326733 -0.2970297  -0.5
 -0.26732673 -0.41584158 -0.24257426 -0.52970297 -0.2029703  -0.64356436
 -0.12376238 -0.45544554 -0.13861386 -0.39108911 -0.05445545 -0.5
 -0.01485149 -0.60891089  0.01980198 -0.45544554 -0.01485149 -0.38118812]"
2,"[ 0.          0.         -0.11165049 -0.04368932 -0.23300971 -0.16019417
 -0.24271845 -0.38349515 -0.23300971 -0.58252427 -0.61165049 -0.38834951
 -0.77184466 -0.59223301 -0.90291262 -0.75728155 -1.         -0.89320388
 -0.44660194 -0.47087379 -0.42718447 -0.6407767  -0.2961165  -0.49029126
 -0.26699029 -0.41262136 -0.25728155 -0.50485437 -0.2184466  -0.62135922
 -0.12621359 -0.45631068 -0.13592233 -0.38834951 -0.0776699  -0.47572816
 -0.03398058 -0.59223301  0.00970874 -0.45145631 -0.01941748 -0.37864078]"
2,"[ 0.          0.         -0.1        -0.02857143 -0.21904762 -0.13333333
 -0.23333333 -0.34285714 -0.22857143 -0.53809524 -0.59047619 -0.33333333
 -0.76666667 -0.51904762 -0.9        -0.67619048 -1.         -0.8047619
 -0.43809524 -0.43333333 -0.41904762 -0.57619048 -0.28571429 -0.41904762
 -0.26190476 -0.35714286 -0.26190476 -0.47619048 -0.22380952 -0.58095238
 -0.12857143 -0.41904762 -0.14761905 -0.36666667 -0.09047619 -0.46190476
 -0.04761905 -0.56666667  0.0047619  -0.43333333 -0.02380952 -0.36666667]"
